SUMMARY,DTSTART,DTEND,SUNRISE,SUNSET,MOONRISE,MOONSET,MONTH,WEEKDAY,PAKSHA,TITHI,TITHIEND,TITHI2,TITHI2END,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,SUNSIGN,MOONSIGN,RAHU KALAM,GULIKAI KALAM,YAMAGANDA
"Phalguna, Trayodashi Krishna Paksha, 1940 Vilambi Shaka Samvata",04/03/2019,04/04/2019,06:35 AM,06:49 PM," 06:00 AM, Apr 04", 05:22 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra, Budhawara, Krishna Paksha, Trayodashi ,10:56 AM,None,None, Purva Bhadrapada ,03:25 AM,None,None, Shukla ,09:50 PM,None,None, Vanija ,10:56 AM, Vishti ,11:57 PM,None,None, Meena," Kumbha upto 08:49 PM""",Rahu Kalam - 12:42 PM to 02:14 PM,Gulikai Kalam - 11:10 AM to 12:42 PM,Yamaganda - 08:07 AM to 09:38 AM
"Phalguna, Chaturdashi Krishna Paksha, 1940 Vilambi Shaka Samvata",04/04/2019,04/05/2019,06:34 AM,06:49 PM, No Moonrise, 06:11 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra, Guruwara, Krishna Paksha, Chaturdashi ,12:51 PM,None,None, Uttara Bhadrapada ,05:37 AM,None,None, Brahma ,10:09 PM,None,None, Shakuni ,12:51 PM, Chatushpada ,01:39 AM,None,None, Meena, Meena,Rahu Kalam - 02:14 PM to 03:46 PM,Gulikai Kalam - 09:38 AM to 11:10 AM,Yamaganda - 06:34 AM to 08:06 AM
"Phalguna, Amavasya Krishna Paksha, 1940 Vilambi Shaka Samvata",04/05/2019,04/06/2019,06:33 AM,06:50 PM, 06:36 AM, 07:00 PMShaka Samvat - 1940 VilambiVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - PhalgunaPurnimanta Month - Chaitra, Shukrawara, Krishna Paksha, Amavasya ,02:20 PM,None,None, Revati ,Full Night,None,None, Indra ,10:08 PM,None,None, Nagava ,02:20 PM, Kinstughna ,02:55 AM,None,None, Meena, Meena,Rahu Kalam - 11:09 AM to 12:41 PM,Gulikai Kalam - 08:05 AM to 09:37 AM,Yamaganda - 03:45 PM to 05:18 PM
"Chaitra, Pratipada Shukla Paksha, 1941 Vikari Shaka Samvata",04/06/2019,04/07/2019,06:32 AM,06:50 PM, 07:12 AM, 07:51 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra, Shaniwara, Shukla Paksha, Pratipada ,03:23 PM,None,None, Revati ,07:23 AM,None,None, Vaidhriti,09:48 PM,None,None, Bava ,03:23 PM, Balava ,03:45 AM,None,None, Meena, Meena upto 07:23 AM,Rahu Kalam - 09:37 AM to 11:09 AM,Gulikai Kalam - 06:32 AM to 08:04 AM,Yamaganda - 02:13 PMto 03:45 PM
"Chaitra, Dwitiya Shukla Paksha, 1941 Vikari Shaka Samvata",04/07/2019,04/08/2019,06:31 AM,06:50 PM, 07:50 AM, 08:43 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra, Raviwara, Shukla Paksha, Dwitiya ,04:01 PM,None,None, Ashwini ,08:45 AM,None,None, Vishkambha ,09:09 PM,None,None, Kaulava ,04:01 PM, Taitila ,04:11 AM,None,None, Meena, Mesha,Rahu Kalam - 05:18 PM to 06:50PM,Gulikai Kalam - 03:45 PM to 05:18 PM,Yamaganda - 12:41 PM to 02:13 PM
"Chaitra, Tritiya Shukla Paksha, 1941 Vikari Shaka Samvata",04/08/2019,04/09/2019,06:31 AM,06:50 PM, 08:31 AM, 09:38 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra, Somawara, Shukla Paksha, Tritiya ,04:16 PM,None,None, Bharani ,09:44 AM,None,None, Priti ,08:12 PM,None,None, Garaja ,04:16 PM, Vanija ,04:14 AM,None,None, Meena," Mesha upto 03:55 PM""",Rahu Kalam - 08:03 AM to 09:36 AM,Gulikai Kalam - 02:13 PM to 03:45 PM,Yamaganda - 11:08 AM to 12:41 PM
"Chaitra, Chaturthi Shukla Paksha, 1941 Vikari Shaka Samvata",04/09/2019,04/10/2019,06:30 AM,06:51 PM, 09:15 AM, 10:34 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra, Mangalawara, Shukla Paksha, Chaturthi ,04:07 PM,None,None, Krittika ,10:20 AM,None,None, Ayushman ,06:57 PM,None,None, Vishti ,04:07 PM, Bava ,03:54 AM,None,None, Meena, Vrishabha,Rahu Kalam - 03:45 PM to 05:18 PM,Gulikai Kalam - 12:40 PM to 02:13 PM,Yamaganda - 09:35 AM to 11:08 AM
"Chaitra, Panchami Shukla Paksha, 1941 Vikari Shaka Samvata",04/10/2019,04/11/2019,06:29 AM,06:51 PM, 10:03 AM, 11:31 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra, Budhawara, Shukla Paksha, Panchami ,03:36 PM,None,None, Rohini ,10:34 AM,None,None, Saubhagya ,05:25 PM,None,None, Balava ,03:36 PM, Kaulava ,03:12 AM,None,None, Meena, Vrishabha upto 10:33 PM,Rahu Kalam - 12:40 PM to 02:13 PM,Gulikai Kalam - 11:07 AM to 12:40 PM,Yamaganda - 08:02 AM to 09:35 AM
"Chaitra, Shashthi Shukla Paksha, 1941 Vikari Shaka Samvata",04/11/2019,04/12/2019,06:28 AM,06:51 PM, 10:55 AM," 12:30 AM, Apr 12Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Guruwara, Shukla Paksha, Shashthi ,02:42 PM,None,None, Mrigashirsha ,10:26 AM,None,None, Shobhana ,03:34 PM,None,None, Taitila ,02:42 PM, Garaja ,02:06 AM,None,None, Meena, Mithuna,Rahu Kalam - 02:13 PM to 03:45 PM,Gulikai Kalam - 09:34 AM to 11:07 AM,Yamaganda - 06:28AM to 08:01 AM
"Chaitra, Saptami Shukla Paksha, 1941 Vikari Shaka Samvata",04/12/2019,04/13/2019,06:28 AM,06:51 PM, 11:52 AM," 01:27 AM, Apr 13Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Shukrawara, Shukla Paksha, Saptami ,01:24 PM,None,None, Ardra ,09:55 AM,None,None, Atiganda ,01:24 PM,None,None, Vanija ,01:24 PM," Vishti """,12:35 AM,None,None, Meena," Mithuna upto 03:15 AM, Apr 13",Rahu Kalam - 11:06 AM to 12:39 PM,Gulikai Kalam - 08:01 AM to 09:33 AM,Yamaganda - 03:45 PM to 05:18 PM
"Chaitra, Ashtami Shukla Paksha, 1941 Vikari Shaka Samvata",04/13/2019,04/14/2019,06:27 AM,06:52 PM, 12:52 PM," 02:22 AM, Apr 14Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Shaniwara, Shukla Paksha, Ashtami ,11:41 AM,None,None, Punarvasu ,08:59 AM,None,None, Sukarman ,10:55 AM,None,None, Bava ,11:41 AM, Balava ,10:41 PM,None,None, Meena, Karka,Rahu Kalam - 09:33 AM to 11:06 AM,Gulikai Kalam - 06:27 AM to 08:00 AM,Yamaganda - 02:12 PM to 03:45 PM
"Chaitra, Navami Shukla Paksha, 1941 Vikari Shaka Samvata",04/14/2019,04/15/2019,06:26 AM,06:52 PM, 01:53 PM," 03:14 AM, Apr 15Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Raviwara, Shukla Paksha, Navami ,09:36 AM,None,None, Pushya ,07:41 AM, Ashlesha ,06:00 AM, Dhriti ,08:07 AM, Shula ,05:01 AM, Kaulava ,09:36 AM, Taitila,08:24 PM,None,None, Meena upto 02:25 PM," Karka upto 06:00 AM,Apr 15",Rahu Kalam - 05:19 PM to 06:52 PM,Gulikai Kalam - 03:45 PM to 05:19 PM,Yamaganda - 12:39 PM to 02:12 PM
"Chaitra, Dashami Shukla Paksha, 1941 Vikari Shaka Samvata",04/15/2019,04/16/2019,06:25 AM,06:52 PM, 02:56 PM," 04:02 AM, Apr 16Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Somawara, Shukla Paksha, Dashami ,07:08 AM, Ekadashi ,04:23 AM, Magha ,04:02 AM,None,None, Ganda ,01:40 AM,None,None, Garaja ,07:08 AM, Vanija ,05:47 PM, Vishti,04:23 AM, Mesha, Simha,Rahu Kalam - 07:59 AM to 09:32 AM,Gulikai Kalam - 02:12 PM to 03:45 PM,Yamaganda - 11:05 AM to 12:39 PM
"Chaitra, Dwadashi Shukla Paksha, 1941 Vikari Shaka Samvata",04/16/2019,04/17/2019,06:24 AM,06:52 PM, 03:58 PM," 04:49 AM, Apr 17Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Mangalawara, Shukla Paksha, Dwadashi ,01:26 AM,None,None, Purva Phalguni ,01:51 AM,None,None, Vriddhi ,10:09 PM,None,None, Bava ,02:55 PM, Balava ,01:26 AM,None,None, Mesha, Simha,Rahu Kalam - 03:45 PM to 05:19 PM,Gulikai Kalam - 12:38 PM to 02:12 PM,Yamaganda - 09:31 AM to 11:05 AM
"Chaitra, Trayodashi Shukla Paksha, 1941 Vikari Shaka Samvata",04/17/2019,04/18/2019,06:24 AM,06:53 PM, 04:59 PM," 05:33 AM, Apr 18Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Budhawara, Shukla Paksha, Trayodashi ,10:24 PM,None,None, Uttara Phalguni ,11:36 PM,None,None, Dhruva ,06:33 PM,None,None, Kaulava ,11:55 AM, Taitila ,10:24 PM,None,None, Mesha," Simha upto 07:18 AM""",Rahu Kalam - 12:38 PM to 02:12 PM,Gulikai Kalam - 11:05 AM to 12:38 PM,Yamaganda - 07:57 AM to 09:31 AM
"Chaitra, Chaturdashi Shukla Paksha, 1941 Vikari Shaka Samvata",04/18/2019,04/19/2019,06:23 AM,06:53 PM, 05:59 PM," 06:17 AM, Apr 19Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - ChaitraPurnimanta Month - Chaitra, Guruwara, Shukla Paksha, Chaturdashi ,07:26 PM,None,None, Hasta ,09:26 PM,None,None, Vyaghata ,02:58 PM,None,None, Garaja ,08:54 AM, Vanija ,07:26 PM, Vishti ,06:02 AM, Mesha,Kanya,Rahu Kalam - 02:12 PM to 03:45 PM,Gulikai Kalam - 09:30 AM to 11:04 AM,Yamaganda - 06:23 AM to 07:57 AM
"Chaitra, Purnima Shukla Paksha, 1941 Vikari Shaka Samvata",04/19/2019,04/20/2019,06:22 AM,06:53 PM, 06:59 PM, No MoonsetShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Chaitra, Shukrawara, Shukla Paksha, Purnima ,04:42 PM,None,None, Chitra ,07:30 PM,None,None, Harshana,01:34 AM,None,None, Bava ,04:42 PM, Balava ,03:28 AM,None,None, Mesha, Kanya upto 08:26 AM,Rahu Kalam - 11:04 AM to 12:38 PM,Gulikai Kalam - 07:56 AM to 09:30 AM,Yamaganda - 03:46 PMto 05:19 PM
"Chaitra, Pratipada Krishna Paksha, 1941 Vikari Shaka Samvata",04/20/2019,04/21/2019,06:22 AM,06:54 PM, 07:59 PM, 07:01 AMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Shaniwara, Krishna Paksha, Pratipada ,02:21 PM,None,None, Swati ,05:59 PM,None,None, Vajra ,08:26 AM, Siddhi ,05:44 AM, Kaulava ,02:21 PM, Taitila ,01:22 AM,None,None, Mesha, Tula,Rahu Kalam - 09:30 AM to 11:04 AM,Gulikai Kalam - 06:22 AM to 07:56AM,Yamaganda - 02:12 PM to 03:46 PM
"Chaitra, Dwitiya Krishna Paksha, 1941 Vikari Shaka Samvata",04/21/2019,04/22/2019,06:21 AM,06:54 PM, 08:57 PM, 07:47 AMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Raviwara, Krishna Paksha, Dwitiya ,12:32 PM,None,None, Vishakha ,05:02 PM,None,None, Vyatipata ,03:33 AM,None,None, Garaja ,12:32 PM, Vanija ,11:53 PM,None,None, Mesha," Tula upto 11:12 AM""",Rahu Kalam - 05:20 PM to 06:54 PM,Gulikai Kalam - 03:46 PM to 05:20 PM,Yamaganda - 12:37PM to 02:11 PM
"Chaitra, Tritiya Krishna Paksha, 1941 Vikari Shaka Samvata",04/22/2019,04/23/2019,06:20 AM,06:54 PM, 09:55 PM, 08:33 AMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Somawara, Krishna Paksha, Tritiya ,11:25 AM,None,None, Anuradha ,04:46 PM,None,None, Varigha,01:57 AM,None,None, Vishti ,11:25 AM, Bava ,11:08 PM,None,None, Mesha, Vrishchika,Rahu Kalam - 07:54 AM to 09:29 AM,Gulikai Kalam - 02:11 PM to 03:46 PM,Yamaganda - 11:03 AM to 12:37PM
"Chaitra, Chaturthi Krishna Paksha, 1941 Vikari Shaka Samvata",04/23/2019,04/24/2019,06:19 AM,06:54 PM, 10:51 PM, 09:22 AMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Mangalawara, Krishna Paksha, Chaturthi ,11:04 AM,None,None, Jyeshtha ,05:17 PM,None,None, Parigha,01:00 AM,None,None, Balava ,11:04 AM, Kaulava ,11:12 PM,None,None, Mesha, Vrishchika upto 05:17 PM,Rahu Kalam - 03:46 PM to 05:20 PM,Gulikai Kalam - 12:37 PM to 02:11 PM,Yamaganda - 09:28 AM to 11:03 AM
"Chaitra, Panchami Krishna Paksha, 1941 Vikari Shaka Samvata",04/24/2019,04/25/2019,06:19 AM,06:55 PM, 11:45 PM, 10:12 AMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Budhawara, Krishna Paksha, Panchami ,11:32 AM,None,None, Mula ,06:36 PM,None,None, Shiva ,12:41 AM,None,None, Taitila ,11:32 AM, Garaja ,12:04 AM,None,None, Mesha, Dhanu,Rahu Kalam - 12:37 PM to 02:11 PM,Gulikai Kalam - 11:02 AM to 12:37 PM,Yamaganda - 07:53 AM to 09:28 AM
"Chaitra, Shashthi Krishna Paksha, 1941 Vikari Shaka Samvata",04/25/2019,04/26/2019,06:18 AM,06:55 PM," 12:35 AM, Apr 26", 11:03 AMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Guruwara, Krishna Paksha, Shashthi ,12:46 PM,None,None, Purva Ashadha ,08:38 PM,None,None, Siddha ,12:56 AM,None,None, Vanija ,12:46 PM, Vishti ,01:39 AM,None,None, Mesha," Dhanu upto 03:15 AM, Apr 26",Rahu Kalam - 02:11 PM to 03:46 PM,Gulikai Kalam - 09:27 AMto 11:02 AM,Yamaganda - 06:18 AM to 07:53 AM
"Chaitra, Saptami Krishna Paksha, 1941 Vikari Shaka Samvata",04/26/2019,04/27/2019,06:18 AM,06:55 PM," 01:21 AM, Apr 27", 11:55 AMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Shukrawara, Krishna Paksha, Saptami ,02:40 PM,None,None, Uttara Ashadha ,11:15 PM,None,None, Sadhya ,01:36 AM,None,None, Bava ,02:40 PM, Balava ,03:48 AM,None,None, Mesha, Makara,Rahu Kalam - 11:02 AM to 12:36 PM,Gulikai Kalam - 07:52 AM to 09:27 AM,Yamaganda - 03:46 PM to 05:21 PM
"Chaitra, Ashtami Krishna Paksha, 1941 Vikari Shaka Samvata",04/27/2019,04/28/2019,06:17 AM,06:56 PM," 02:04 AM, Apr 28", 12:46 PMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Shaniwara, Krishna Paksha, Ashtami ,05:01 PM,None,None, Shravana ,02:13 AM,None,None, Shubha ,02:32 AM,None,None, Kaulava ,05:01 PM, Taitila ,Full Night,None,None, Mesha," Makara""",Rahu Kalam - 09:27 AM to 11:01 AM,Gulikai Kalam - 06:17 AM to 07:52 AM,Yamaganda - 02:11 PM to 03:46 PM
"Chaitra, Navami Krishna Paksha, 1941 Vikari Shaka Samvata",04/28/2019,04/29/2019,06:16 AM,06:56 PM," 02:44 AM, Apr 29", 01:36 PMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Raviwara, Krishna Paksha, Navami ,07:34 PM,None,None, Dhanishtha ,05:19 AM,None,None, Shukla ,03:34 AM,None,None, Taitila ,06:17 AM, Garaja ,07:34 PM,None,None, Mesha," Makara upto 03:46 PM""",Rahu Kalam - 05:21 PM to 06:56 PM,Gulikai Kalam - 03:46 PM to 05:21 PM,Yamaganda - 12:36 PM to 02:11 PM
"Chaitra, Dashami Krishna Paksha, 1941 Vikari Shaka Samvata",04/29/2019,04/30/2019,06:16 AM,06:56 PM," 03:22 AM, Apr 30", 02:26 PMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Somawara, Krishna Paksha, Dashami ,10:04 PM,None,None, Shatabhisha ,Full Night,None,None, Brahma ,04:30 AM,None,None, Vanija ,08:50 AM, Vishti ,10:04 PM,None,None, Mesha, Kumbha,Rahu Kalam - 07:51 AM to 09:26 AM,Gulikai Kalam - 02:11 PM to 03:46 PM,Yamaganda - 11:01 AM to 12:36 PM
"Chaitra, Ekadashi Krishna Paksha, 1941 Vikari Shaka Samvata",04/30/2019,05/01/2019,06:15 AM,06:57 PM," 03:58 AM, May 01", 03:15 PMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Mangalawara, Krishna Paksha, Ekadashi ,12:18 AM,None,None, Shatabhisha ,08:16 AM,None,None, Indra ,05:11 AM,None,None, Bava ,11:14 AM, Balava ,12:18 AM,None,None, Mesha," Kumbha upto 04:16 AM, May 01",Rahu Kalam - 03:46 PM to 05:21 PM,Gulikai Kalam - 12:36 PM to 02:11 PM,Yamaganda - 09:25 AM to 11:01 AM
"Chaitra, Dwadashi Krishna Paksha, 1941 Vikari Shaka Samvata",05/01/2019,05/02/2019,06:14 AM,06:57 PM," 04:34 AM, May 02", 04:04 PMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Budhawara, Krishna Paksha, Dwadashi ,02:05 AM,None,None, Purva Bhadrapada ,10:53 AM,None,None, Vaidhriti ,05:32 AM,None,None, Kaulava ,01:15 PM, Taitila ,02:05 AM,None,None, Mesha,"Moonsign- Meena""",Rahu Kalam - 12:36 PM to 02:11 PM,Gulikai Kalam - 11:00 AM to 12:36 PM,Yamaganda - 07:50 AM to 09:25 AM
"Chaitra, Trayodashi Krishna Paksha, 1941 Vikari Shaka Samvata",05/02/2019,05/03/2019,06:14 AM,06:57 PM," 05:11 AM, May 03", 04:54 PMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Guruwara, Krishna Paksha, Trayodashi ,03:21 AM,None,None, Uttara Bhadrapada upto0,01:03 PM,None,None, Vishkambha ,05:28 AM,None,None, Garaja ,02:47 PM, Vanija ,03:21 AM,None,None, Mesha, Meena,Rahu Kalam - 02:11 PM to 03:46 PM,Gulikai Kalam - 09:25 AM to 11:00 AM,Yamaganda - 06:14 AM to 07:49 AM
"Chaitra, Chaturdashi Krishna Paksha, 1941 Vikari Shaka Samvata",05/03/2019,05/04/2019,06:13 AM,06:58 PM," 05:48 AM, May 04", 05:44 PMShaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimanta Month - Vaishakha, Shukrawara, Krishna Paksha, Chaturdashi ,04:04 AM,None,None, Revati ,02:41 PM,None,None, Priti ,04:59 AM,None,None, Vishti ,03:46 PM, Shakuni ,04:04 AM,None,None, Mesha," Meena upto 02:41 PM""",Rahu Kalam - 11:00 AM to 12:35 PM,Gulikai Kalam - 07:49 AM to 09:24 AM,Yamaganda - 03:47 PM to 05:22 PM
"Chaitra, Amavasya Krishna Paksha, 1941 Vikari Shaka Samvata",05/04/2019,05/05/2019,06:13 AM,06:58 PM, No Moonrise, 06:36 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - ChaitraPurnimantaMonth - Vaishakha, Shaniwara, Krishna Paksha, Amavasya ,04:15 AM,None,None, Ashwini ,03:48 PM,None,None, Ayushman ,04:05 AM,None,None, Chatushpada ,04:13 PM, Nagava ,04:15 AM,None,None, Mesha, Mesha,Rahu Kalam - 09:24 AM to 11:00 AM,Gulikai Kalam - 06:13 AM to 07:48 AM,Yamaganda - 02:11 PM to 03:47 PM
"Vaishakha, Pratipada Shukla Paksha, 1941 Vikari Shaka Samvata",05/05/2019,05/06/2019,06:12 AM,06:58 PM, 06:28 AM, 07:31 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - VaishakhaPurnimanta Month - Vaishakha, Raviwara, Shukla Paksha, Pratipada ,03:59 AM,None,None, Bharani ,04:25 PM,None,None, Saubhagya ,02:50 AM,None,None, Kinstughna ,04:10 PM, Bava ,03:59 AM,None,None, Mesha, Mesha upto 10:31 PM,Rahu Kalam - 05:23 PM to 06:58 PM,Gulikai Kalam - 03:47 PM to 05:23 PM,Yamaganda - 12:35 PM to 02:11 PM
"Vaishakha, Dwitiya Shukla Paksha, 1941 Vikari Shaka Samvata",05/06/2019,05/07/2019,06:12 AM,06:59 PM, 07:11 AM, 08:28 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - VaishakhaPurnimanta Month - Vaishakha, Somawara, Shukla Paksha, Dwitiya ,03:18 AM,None,None, Krittika ,04:37 PM,None,None, Shobhana ,01:15 AM,None,None, Balava ,03:41 PM, Kaulava ,03:18 AM,None,None, Mesha," Vrishabha""",Rahu Kalam - 07:48 AM to 09:23 AM,Gulikai Kalam - 02:11 PM to 03:47 PM,Yamaganda - 10:59 AM to 12:35 PM
"Vaishakha, Tritiya Shukla Paksha, 1941 Vikari Shaka Samvata",05/07/2019,05/08/2019,06:11 AM,06:59 PM, 07:59 AM, 09:26 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - VaishakhaPurnimanta Month - Vaishakha, Mangalawara, Shukla Paksha, Tritiya ,02:17 AM,None,None, Rohini ,04:28 PM,None,None, Atiganda ,11:24 PM,None,None, Taitila ,02:50 PM, Garaja ,02:17 AM,None,None, Mesha," Vrishabha upto 04:16 AM,May 08",Rahu Kalam - 03:47 PM to 05:23 PM,Gulikai Kalam - 12:35 PM to 02:11 PM,Yamaganda - 09:23 AM to 10:59 AM
"Vaishakha, Chaturthi Shukla Paksha, 1941 Vikari Shaka Samvata",05/08/2019,05/09/2019,06:11 AM,06:59 PM, 08:51 AM, 10:25 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - VaishakhaPurnimanta Month - Vaishakha, Budhawara, Shukla Paksha, Chaturthi ,12:59 AM,None,None, Mrigashirsha ,04:01 PM,None,None, Sukarman ,09:19 PM,None,None, Vanija ,01:40 PM, Vishti ,12:59 AM,None,None, Mesha, Mithuna,Rahu Kalam - 12:35 PM to 02:11 PM,Gulikai Kalam - 10:59 AM to 12:35 PM,Yamaganda - 07:47 AM to 09:23 AM
"Vaishakha, Panchami Shukla Paksha, 1941 Vikari Shaka Samvata",05/09/2019,05/10/2019,06:10 AM,07:00 PM, 09:47 AM, 11:23 PMShaka Samvat - 1941 VikariVikram Samvat - 2076 ParidhaviGujarati Samvat - 2075 Sadharana,Amanta Month - VaishakhaPurnimanta Month - Vaishakha, Guruwara, Shukla Paksha, Panchami ,11:27 PM,None,None, Ardra ,03:18 PM,None,None, Dhriti ,07:02 PM,None,None, Bava ,12:15 PM, Balava ,11:27 PM,None,None, Mesha, Mithuna,Rahu Kalam - 02:11 PM to 03:47 PM,Gulikai Kalam - 09:23 AM to 10:59 AM,Yamaganda - 06:10 AM to 07:47 AM
"Vaishakha, Shashthi Shukla Paksha, 1941 Vikari Shaka Samvata",05/10/2019,05/11/2019,06:10 AM,07:00 PM, 10:46 AM," 12:19 AM, May 11Shaka Samvat - 1941 VikariVikram Samvat - 2076ParidhaviGujarati Samvat - 2075 Sadharana",Amanta Month - VaishakhaPurnimanta Month - Vaishakha, Shukrawara, Shukla Paksha, Shashthi ,09:41 PM,None,None, Punarvasu ,02:22 PM,None,None, Shula ,04:34 PM,None,None, Kaulava ,10:36 AM, Taitila ,09:41 PM,None,None, Mesha," Mithuna upto 08:37 AM""",Rahu Kalam - 10:59 AM to 12:35 PM,Gulikai Kalam - 07:46 AM to 09:22 AM,Yamaganda -03:48 PM to 05:24 PM
